 physics = SolarLnMHD, step_type = theta, nproc =    720, nbx =   36
 xper = F, yper = T, nx =   72, ny =  128, np = 6, nq = 6
 solve_type = condense
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
     0   600   0   0     0 5.968E+02 1.00E+00 1.40E+00 1.50E-04 0.000E+00
     1   601   2   1   692 5.978E+02 1.00E+00 5.91E+00 1.53E-04 4.086E+02
     2   602   2   0   694 5.988E+02 1.00E+00 3.98E+00 1.56E-04 3.840E+02
     3   603   3   0  1044 5.998E+02 1.00E+00 6.35E+00 1.58E-04 4.465E+02
     4   604   3   0  1047 6.008E+02 1.00E+00 6.23E+00 1.61E-04 4.598E+02
     5   605   3   0  1047 6.018E+02 1.00E+00 6.55E+00 1.64E-04 5.032E+02
     6   606   3   0  1035 6.028E+02 1.00E+00 6.01E+00 1.68E-04 3.915E+02
     7   607   3   0  1050 6.038E+02 1.00E+00 5.87E+00 1.70E-04 7.654E+02
     8   608   4   0  1387 6.048E+02 1.00E+00 8.14E+00 1.74E-04 6.382E+02
     9   609   4   0  1376 6.058E+02 1.00E+00 7.75E+00 1.76E-04 2.647E+02
    10   610   4   0  1405 6.068E+02 1.00E+00 7.92E+00 1.80E-04 4.367E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    11   611   4   0  1364 6.078E+02 1.00E+00 8.50E+00 1.83E-04 5.317E+02
    12   612   4   0  1380 6.088E+02 1.00E+00 7.87E+00 1.86E-04 8.097E+02
    13   613   4   0  1385 6.098E+02 1.00E+00 7.75E+00 1.90E-04 5.334E+02
    14   614   4   0  1395 6.108E+02 1.00E+00 8.05E+00 1.93E-04 6.475E+02
    15   615   4   0  1398 6.118E+02 1.00E+00 8.10E+00 1.96E-04 3.178E+02
    16   616   4   0  1388 6.128E+02 1.00E+00 7.85E+00 2.00E-04 5.228E+02
    17   617   4   0  1384 6.138E+02 1.00E+00 8.22E+00 2.03E-04 5.244E+02
    18   618   4   0  1398 6.148E+02 1.00E+00 8.05E+00 2.07E-04 4.336E+02
    19   619   5   0  1741 6.158E+02 1.00E+00 9.66E+00 2.10E-04 5.460E+02
    20   620   5   0  1729 6.168E+02 1.00E+00 9.88E+00 2.13E-04 3.726E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    21   621   4   0  1413 6.178E+02 1.00E+00 7.95E+00 2.17E-04 4.619E+02
    22   622   5   0  1716 6.188E+02 1.00E+00 9.48E+00 2.21E-04 2.844E+02
    23   623   5   0  1707 6.198E+02 1.00E+00 9.85E+00 2.24E-04 2.639E+02
    24   624   5   0  1756 6.208E+02 1.00E+00 9.89E+00 2.28E-04 5.456E+02
    25   625   6   1  2069 6.218E+02 1.00E+00 1.31E+01 2.31E-04 4.083E+02
    26   626   2   0   707 6.228E+02 1.00E+00 4.34E+00 2.35E-04 3.246E+02
    27   627   3   0  1067 6.238E+02 1.00E+00 6.05E+00 2.39E-04 4.578E+02
    28   628   3   0  1054 6.248E+02 1.00E+00 6.07E+00 2.43E-04 3.721E+02
    29   629   3   0  1070 6.258E+02 1.00E+00 6.27E+00 2.46E-04 5.493E+02
    30   630   3   0  1062 6.268E+02 1.00E+00 6.35E+00 2.50E-04 5.331E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    31   631   3   0  1056 6.278E+02 1.00E+00 6.23E+00 2.54E-04 2.886E+02
    32   632   3   0  1064 6.288E+02 1.00E+00 5.92E+00 2.58E-04 6.956E+02
    33   633   4   0  1421 6.298E+02 1.00E+00 7.94E+00 2.61E-04 4.891E+02
    34   634   4   0  1399 6.308E+02 1.00E+00 7.75E+00 2.65E-04 4.254E+02
    35   635   4   0  1393 6.318E+02 1.00E+00 8.03E+00 2.69E-04 5.679E+02
    36   636   4   0  1399 6.328E+02 1.00E+00 8.04E+00 2.72E-04 7.671E+02
    37   637   4   0  1402 6.338E+02 1.00E+00 7.81E+00 2.76E-04 6.514E+02
    38   638   4   0  1383 6.348E+02 1.00E+00 7.82E+00 2.80E-04 6.034E+02
    39   639   4   0  1397 6.358E+02 1.00E+00 7.77E+00 2.84E-04 6.871E+02
    40   640   4   0  1408 6.368E+02 1.00E+00 8.06E+00 2.87E-04 5.780E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    41   641   4   0  1400 6.378E+02 1.00E+00 8.10E+00 2.91E-04 6.616E+02
    42   642   5   0  1711 6.388E+02 1.00E+00 9.79E+00 2.94E-04 6.043E+02
    43   643   5   0  1743 6.398E+02 1.00E+00 9.75E+00 2.98E-04 4.313E+02
    44   644   5   0  1765 6.408E+02 1.00E+00 1.02E+01 3.02E-04 6.448E+02
    45   645   5   0  1734 6.418E+02 1.00E+00 9.61E+00 3.05E-04 3.103E+02
    46   646   5   0  1736 6.428E+02 1.00E+00 1.07E+01 3.09E-04 3.235E+02
    47   647   5   0  1746 6.438E+02 1.00E+00 9.97E+00 3.12E-04 5.037E+02
    48   648   5   0  1732 6.448E+02 1.00E+00 9.91E+00 3.16E-04 4.474E+02
    49   649   5   0  1758 6.458E+02 1.00E+00 9.93E+00 3.19E-04 5.539E+02
    50   650   6   1  2073 6.468E+02 1.00E+00 1.33E+01 3.23E-04 4.048E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    51   651   2   0   690 6.478E+02 1.00E+00 4.12E+00 3.26E-04 4.521E+02
    52   652   2   0   706 6.488E+02 1.00E+00 4.02E+00 3.29E-04 4.783E+02
    53   653   3   0  1067 6.498E+02 1.00E+00 5.97E+00 2.47E-04 2.989E+02
    54   654   3   0  1060 6.508E+02 1.00E+00 6.25E+00 2.50E-04 4.610E+02
    55   655   3   0  1073 6.518E+02 1.00E+00 6.11E+00 2.53E-04 5.567E+02
    56   656   3   0  1073 6.528E+02 1.00E+00 6.37E+00 2.55E-04 5.940E+02
    57   657   3   0  1054 6.538E+02 1.00E+00 5.91E+00 2.59E-04 4.763E+02
    58   658   4   0  1416 6.548E+02 1.00E+00 8.19E+00 2.61E-04 3.408E+02
    59   659   4   0  1397 6.558E+02 1.00E+00 7.76E+00 2.64E-04 6.336E+02
    60   660   4   0  1391 6.568E+02 1.00E+00 9.13E+00 2.67E-04 5.979E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    61   661   4   0  1425 6.578E+02 1.00E+00 8.10E+00 2.70E-04 7.067E+02
    62   662   4   0  1391 6.588E+02 1.00E+00 7.80E+00 2.73E-04 2.262E+02
    63   663   4   0  1407 6.598E+02 1.00E+00 7.83E+00 2.75E-04 8.247E+02
    64   664   4   0  1407 6.608E+02 1.00E+00 8.46E+00 2.78E-04 6.282E+02
    65   665   4   0  1402 6.618E+02 1.00E+00 7.87E+00 2.81E-04 2.163E+02
    66   666   4   0  1427 6.628E+02 1.00E+00 8.69E+00 2.83E-04 6.865E+02
    67   667   4   0  1428 6.638E+02 1.00E+00 7.91E+00 2.85E-04 5.888E+02
    68   668   5   0  1746 6.648E+02 1.00E+00 1.02E+01 2.88E-04 2.648E+02
    69   669   4   0  1416 6.658E+02 1.00E+00 8.32E+00 2.91E-04 4.733E+02
    70   670   5   0  1764 6.668E+02 1.00E+00 1.01E+01 2.94E-04 2.958E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    71   671   5   0  1753 6.678E+02 1.00E+00 1.01E+01 2.95E-04 4.609E+02
    72   672   5   0  1787 6.688E+02 1.00E+00 1.02E+01 2.98E-04 3.775E+02
    73   673   5   0  1745 6.698E+02 1.00E+00 9.63E+00 3.00E-04 2.933E+02
    74   674   5   0  1751 6.708E+02 1.00E+00 9.79E+00 3.03E-04 4.862E+02
    75   675   5   0  1750 6.718E+02 1.00E+00 9.79E+00 3.05E-04 4.376E+02
    76   676   5   0  1766 6.728E+02 1.00E+00 9.77E+00 3.07E-04 4.049E+02
    77   677   5   0  1772 6.738E+02 1.00E+00 9.77E+00 3.09E-04 5.557E+02
    78   678   5   0  1781 6.748E+02 1.00E+00 9.85E+00 3.11E-04 7.159E+02
    79   679   5   0  1780 6.758E+02 1.00E+00 1.02E+01 3.14E-04 5.349E+02
    80   680   6   1  2123 6.768E+02 1.00E+00 1.32E+01 3.15E-04 3.794E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    81   681   2   0   708 6.778E+02 1.00E+00 4.16E+00 3.17E-04 4.452E+02
    82   682   2   0   712 6.788E+02 1.00E+00 4.07E+00 3.19E-04 3.961E+02
    83   683   3   0  1087 6.798E+02 1.00E+00 6.09E+00 3.21E-04 5.609E+02
    84   684   3   0  1068 6.808E+02 1.00E+00 6.02E+00 3.23E-04 7.884E+02
    85   685   3   0  1082 6.818E+02 1.00E+00 6.24E+00 3.25E-04 2.614E+02
    86   686   3   0  1096 6.828E+02 1.00E+00 6.18E+00 3.26E-04 6.195E+02
    87   687   3   0  1077 6.838E+02 1.00E+00 6.57E+00 3.28E-04 4.334E+02
    88   688   3   0  1078 6.848E+02 1.00E+00 6.19E+00 3.30E-04 5.286E+02
    89   689   3   0  1090 6.858E+02 1.00E+00 6.40E+00 3.31E-04 7.502E+02
    90   690   4   0  1440 6.868E+02 1.00E+00 8.02E+00 3.32E-04 7.265E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
    91   691   4   0  1438 6.878E+02 1.00E+00 8.22E+00 3.34E-04 2.318E+02
    92   692   4   0  1435 6.888E+02 1.00E+00 7.98E+00 3.35E-04 3.427E+02
    93   693   4   0  1449 6.898E+02 1.00E+00 8.89E+00 3.37E-04 5.345E+02
    94   694   4   0  1432 6.908E+02 1.00E+00 7.97E+00 3.38E-04 4.248E+02
    95   695   4   0  1454 6.918E+02 1.00E+00 8.12E+00 3.39E-04 7.700E+02
    96   696   4   0  1426 6.928E+02 1.00E+00 7.99E+00 3.40E-04 5.149E+02
    97   697   5   0  1771 6.938E+02 1.00E+00 1.05E+01 3.40E-04 4.684E+02
    98   698   5   0  1775 6.948E+02 1.00E+00 1.03E+01 3.42E-04 3.208E+02
    99   699   4   0  1422 6.958E+02 1.00E+00 7.99E+00 3.43E-04 3.303E+02
   100   700   5   0  1794 6.968E+02 1.00E+00 1.01E+01 3.45E-04 7.105E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
   101   701   5   0  1788 6.978E+02 1.00E+00 1.01E+01 3.45E-04 5.618E+02
   102   702   5   0  1778 6.988E+02 1.00E+00 9.88E+00 3.45E-04 6.403E+02
   103   703   5   0  1790 6.998E+02 1.00E+00 1.02E+01 3.46E-04 4.325E+02
   104   704   5   0  1769 7.008E+02 1.00E+00 9.86E+00 3.47E-04 6.393E+02
   105   705   5   0  1771 7.018E+02 1.00E+00 1.02E+01 3.49E-04 6.265E+02
   106   706   5   0  1785 7.028E+02 1.00E+00 9.86E+00 3.49E-04 5.922E+02
   107   707   5   0  1772 7.038E+02 1.00E+00 9.79E+00 3.49E-04 5.033E+02
   108   708   5   0  1755 7.048E+02 1.00E+00 9.72E+00 3.49E-04 4.733E+02
   109   709   5   0  1810 7.058E+02 1.00E+00 1.05E+01 3.50E-04 6.379E+02
   110   710   6   1  2131 7.068E+02 1.00E+00 1.35E+01 3.52E-04 4.615E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
   111   711   2   0   717 7.078E+02 1.00E+00 4.55E+00 3.51E-04 4.720E+02
   112   712   3   0  1097 7.088E+02 1.00E+00 6.50E+00 3.51E-04 5.365E+02
   113   713   3   0  1100 7.098E+02 1.00E+00 6.53E+00 3.51E-04 7.175E+02
   114   714   3   0  1092 7.108E+02 1.00E+00 6.44E+00 3.52E-04 7.765E+02
   115   715   3   0  1084 7.118E+02 1.00E+00 6.50E+00 3.53E-04 2.896E+02
   116   716   3   0  1105 7.128E+02 1.00E+00 6.37E+00 3.52E-04 4.719E+02
   117   717   3   0  1091 7.138E+02 1.00E+00 6.40E+00 3.52E-04 7.662E+02
   118   718   4   0  1477 7.148E+02 1.00E+00 8.49E+00 3.52E-04 5.395E+02
   119   719   4   0  1440 7.158E+02 1.00E+00 8.19E+00 3.53E-04 3.307E+02
   120   720   4   0  1441 7.168E+02 1.00E+00 8.12E+00 3.53E-04 2.801E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
   121   721   4   0  1442 7.178E+02 1.00E+00 8.16E+00 3.53E-04 2.552E+02
   122   722   4   0  1458 7.188E+02 1.00E+00 8.13E+00 3.53E-04 2.652E+02
   123   723   4   0  1462 7.198E+02 1.00E+00 8.72E+00 3.52E-04 4.982E+02
   124   724   4   0  1438 7.208E+02 1.00E+00 8.18E+00 3.53E-04 3.524E+02
   125   725   4   0  1458 7.218E+02 1.00E+00 8.59E+00 3.53E-04 5.951E+02
   126   726   4   0  1467 7.228E+02 1.00E+00 8.21E+00 3.53E-04 6.145E+02
   127   727   5   0  1808 7.238E+02 1.00E+00 1.00E+01 3.53E-04 3.625E+02
   128   728   4   0  1441 7.248E+02 1.00E+00 8.24E+00 3.53E-04 8.912E+02
   129   729   4   0  1479 7.258E+02 1.00E+00 8.42E+00 3.53E-04 5.776E+02
   130   730   4   0  1439 7.268E+02 1.00E+00 8.13E+00 3.52E-04 4.238E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
   131   731   5   0  1788 7.278E+02 1.00E+00 1.03E+01 3.52E-04 7.928E+02
   132   732   5   0  1821 7.288E+02 1.00E+00 1.04E+01 3.52E-04 4.662E+02
   133   733   5   0  1814 7.298E+02 1.00E+00 1.01E+01 3.52E-04 6.086E+02
   134   734   5   0  1833 7.308E+02 1.00E+00 1.02E+01 3.52E-04 5.636E+02
   135   735   5   0  1835 7.318E+02 1.00E+00 1.06E+01 3.51E-04 4.364E+02
   136   736   5   0  1818 7.328E+02 1.00E+00 1.00E+01 3.52E-04 7.705E+02
   137   737   5   0  1823 7.338E+02 1.00E+00 1.01E+01 3.51E-04 4.328E+02
   138   738   5   0  1810 7.348E+02 1.00E+00 1.04E+01 3.51E-04 7.770E+02
   139   739   5   0  1845 7.358E+02 1.00E+00 1.03E+01 3.50E-04 6.428E+02
   140   740   5   0  1832 7.368E+02 1.00E+00 1.03E+01 3.51E-04 4.317E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
   141   741   6   1  2171 7.378E+02 1.00E+00 1.34E+01 3.51E-04 3.067E+02
   142   742   2   0   717 7.388E+02 1.00E+00 4.31E+00 3.49E-04 3.477E+02
   143   743   2   0   728 7.398E+02 1.00E+00 4.53E+00 3.50E-04 3.893E+02
   144   744   2   0   727 7.408E+02 1.00E+00 4.35E+00 3.49E-04 3.196E+02
   145   745   3   0  1120 7.418E+02 1.00E+00 6.30E+00 3.51E-04 5.164E+02
   146   746   3   0  1124 7.428E+02 1.00E+00 7.77E+00 1.91E-04 6.329E+02
   147   747   3   0  1117 7.438E+02 1.00E+00 6.62E+00 2.10E-04 5.313E+02
   148   748   3   0  1108 7.448E+02 1.00E+00 6.26E+00 2.01E-04 5.012E+02
   149   749   4   0  1462 7.458E+02 1.00E+00 8.21E+00 3.48E-04 4.582E+02
   150   750   3   0  1113 7.468E+02 1.00E+00 6.22E+00 1.82E-04 4.764E+02
 
   iout    m  it  jac  ksp     t        dt     wclock   griderr   condno
 
   151   751   4   0  1459 7.478E+02 1.00E+00 8.44E+00 1.91E-04 2.500E+02
